하차_정류장순번,하차_정류장명,하차_정류장ARS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,All
61,답십리1동희망샘교회앞,6197.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,9.0,8.0,,,1.0,2.0,1.0,2.0,13.0,11.0,10.0,6.0,6.0,2.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,86
62,답십리초등학교앞,6199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,11.0,4.0,,2.0,,3.0,,4.0,25.0,7.0,19.0,4.0,7.0,14.0,25.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,137
63,황물로사거리,6201.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,3.0,5.0,9.0,2.0,,1.0,2.0,,1.0,5.0,21.0,5.0,16.0,18.0,12.0,22.0,24.0,8.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,162
64,청년회의소.서울새활용플라자,4002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,9.0,20.0,2.0,,,,3.0,6.0,13.0,15.0,10.0,17.0,20.0,11.0,18.0,18.0,12.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,184
65,장한평역,4003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,6.0,11.0,1.0,1.0,,6.0,4.0,5.0,10.0,21.0,10.0,12.0,22.0,8.0,9.0,12.0,10.0,10.0,5.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,171
66,군자교입구,5002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,17.0,7.0,,1.0,1.0,2.0,2.0,7.0,18.0,3.0,8.0,21.0,7.0,8.0,15.0,12.0,6.0,4.0,9.0,17.0,2.0,,,,,,,,,,,,,,,,,,,,,,,173
67,능동사거리.군자역,5253.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,18.0,9.0,,3.0,4.0,3.0,8.0,7.0,22.0,5.0,16.0,49.0,14.0,19.0,50.0,28.0,25.0,10.0,23.0,28.0,19.0,5.0,,,,,,,,,,,,,,,,,,,,,,368
68,능동교회앞,5252.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,5.0,,,1.0,1.0,1.0,2.0,5.0,1.0,3.0,8.0,2.0,6.0,5.0,3.0,2.0,1.0,2.0,10.0,1.0,22.0,,,,,,,,,,,,,,,,,,,,,,90
69,어린이대공원앞.세종대학교,5251.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,8.0,3.0,,1.0,,1.0,1.0,3.0,10.0,2.0,3.0,12.0,4.0,5.0,4.0,7.0,2.0,3.0,5.0,15.0,7.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,110
70,어린이대공원역3번출구,5231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,10.0,5.0,,,5.0,2.0,2.0,2.0,5.0,4.0,4.0,8.0,5.0,3.0,4.0,4.0,3.0,2.0,11.0,16.0,16.0,21.0,11.0,4.0,22.0,,,,,,,,,,,,,,,,,,,175
71,어린이회관,5233.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,2.0,2.0,,1.0,,1.0,1.0,1.0,3.0,7.0,21.0,8.0,6.0,51.0,,,,,,,,,,,,,,,,,,,108
72,구의사거리.광진소방서앞,5144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,,,,2.0,,5.0,2.0,3.0,,6.0,,1.0,2.0,2.0,1.0,1.0,3.0,7.0,8.0,17.0,16.0,7.0,69.0,2.0,1.0,,,,,,,,,,,,,,,,,160
73,광진경찰서,5145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,2.0,1.0,2.0,,1.0,1.0,4.0,5.0,5.0,4.0,3.0,2.0,2.0,1.0,7.0,6.0,6.0,18.0,12.0,12.0,56.0,4.0,2.0,7.0,,,,,,,,,,,,,,,,167
74,광진구청,5175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,1.0,1.0,,2.0,3.0,11.0,2.0,3.0,9.0,1.0,6.0,6.0,4.0,,2.0,4.0,6.0,6.0,15.0,12.0,19.0,30.0,8.0,10.0,15.0,7.0,,,,,,,,,,,,,,,188
75,자양동잠실대교북단,5188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,,1.0,,1.0,1.0,,2.0,1.0,,11.0,,4.0,3.0,2.0,,,1.0,6.0,5.0,12.0,11.0,13.0,18.0,3.0,,15.0,12.0,3.0,,,,,,,,,,,,,,130
76,잠실대교전망쉼터,24480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,,,,,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,1.0,,2.0,7.0,4.0,2.0,2.0,,1.0,2.0,4.0,2.0,,,,,,,,,,,,,48
77,잠실역1번.11번출구,24134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,9.0,,,,,,,3.0,9.0,5.0,3.0,20.0,2.0,9.0,7.0,9.0,,4.0,17.0,8.0,11.0,10.0,7.0,13.0,21.0,7.0,7.0,10.0,30.0,54.0,5.0,5.0,,,,,,,,,,,,289
78,송파구청.방이맛골,24136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,2.0,,7.0,7.0,3.0,2.0,5.0,2.0,,7.0,2.0,1.0,3.0,11.0,9.0,9.0,16.0,8.0,9.0,17.0,3.0,6.0,25.0,17.0,41.0,11.0,31.0,3.0,,,,,,,,,,,260
79,방이동사거리,24197.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,1.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,,2.0,2.0,7.0,6.0,1.0,6.0,1.0,7.0,21.0,1.0,10.0,10.0,21.0,27.0,4.0,57.0,11.0,,,,,,,,,,,212
80,송파나루역,24199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,3.0,,,1.0,,1.0,,1.0,2.0,2.0,1.0,3.0,1.0,3.0,,1.0,,,4.0,1.0,1.0,6.0,1.0,2.0,7.0,1.0,3.0,6.0,9.0,5.0,,34.0,6.0,2.0,1.0,,,,,,,,,109
81,서울방이동고분군,24202.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,4.0,,,,,,,1.0,,2.0,3.0,3.0,,1.0,2.0,,,1.0,1.0,2.0,1.0,7.0,1.0,5.0,11.0,,1.0,8.0,7.0,9.0,2.0,57.0,16.0,9.0,9.0,1.0,,,,,,,,165
82,방이시장입구,24225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,2.0,3.0,1.0,2.0,4.0,,,,,,3.0,4.0,4.0,,5.0,,3.0,12.0,1.0,3.0,4.0,10.0,14.0,,138.0,15.0,5.0,25.0,2.0,,,,,,,,264
