하차_정류장순번,하차_정류장명,하차_정류장ARS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,All
39,면목2동,7115.0,,,,,,,2.0,1.0,,1.0,1.0,2.0,4.0,4.0,1.0,1.0,1.0,,3.0,9.0,4.0,4.0,6.0,4.0,4.0,7.0,6.0,4.0,6.0,9.0,17.0,11.0,22.0,11.0,30.0,30.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214
40,면목5동주민센터,7117.0,,,,,,1.0,,,1.0,1.0,,,,2.0,,2.0,,,2.0,3.0,,3.0,4.0,5.0,7.0,7.0,7.0,5.0,4.0,11.0,10.0,3.0,17.0,8.0,34.0,22.0,13.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175
41,늘푸른근린공원,7465.0,,,,,,1.0,,1.0,,,,,1.0,,2.0,1.0,1.0,2.0,,1.0,,6.0,1.0,2.0,,5.0,3.0,3.0,3.0,8.0,6.0,8.0,9.0,6.0,9.0,11.0,8.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106
42,면목신우아파트,7119.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,2.0,3.0,2.0,2.0,1.0,4.0,3.0,4.0,2.0,,9.0,3.0,4.0,3.0,4.0,3.0,7.0,13.0,4.0,3.0,2.0,8.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93
43,면목119안전센터,7121.0,,,,,,,,,,1.0,,,,1.0,2.0,2.0,,1.0,4.0,16.0,5.0,7.0,7.0,4.0,7.0,14.0,6.0,8.0,12.0,9.0,18.0,9.0,22.0,12.0,37.0,29.0,32.0,20.0,11.0,14.0,11.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324
44,면곡시장,5121.0,,,,,,,,1.0,,,,2.0,2.0,,,,,1.0,,1.0,2.0,4.0,5.0,1.0,2.0,3.0,3.0,,4.0,2.0,5.0,4.0,6.0,5.0,9.0,11.0,11.0,3.0,4.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
45,중곡아파트,5123.0,,,,,,,1.0,1.0,,,,,3.0,1.0,1.0,2.0,,,2.0,,1.0,,1.0,2.0,,2.0,1.0,5.0,2.0,5.0,4.0,2.0,9.0,4.0,13.0,11.0,12.0,5.0,7.0,5.0,2.0,3.0,10.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120
46,군자교,5102.0,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,1.0,1.0,,1.0,1.0,3.0,,3.0,2.0,2.0,2.0,1.0,3.0,6.0,5.0,6.0,7.0,3.0,3.0,8.0,1.0,1.0,4.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73
47,군자교남단,4216.0,,,,,,,,,,,1.0,,1.0,,,,,,1.0,3.0,,,1.0,3.0,2.0,4.0,1.0,,4.0,2.0,3.0,,8.0,2.0,9.0,4.0,10.0,5.0,9.0,3.0,4.0,2.0,4.0,6.0,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97
48,송정동건영아파트,4215.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,3.0,,2.0,4.0,,2.0,,3.0,4.0,1.0,8.0,2.0,4.0,8.0,6.0,6.0,4.0,3.0,2.0,5.0,7.0,7.0,5.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93
