하차_정류장순번,하차_정류장명,하차_정류장ARS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,All
42,전농래미안크레시티아파트,6206.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,9.0,,3.0,7.0,1.0,,,1.0,1.0,2.0,3.0,7.0,9.0,3.0,2.0,5.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63
43,동대문중학교,6204.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,2.0,1.0,1.0,,,2.0,1.0,3.0,3.0,,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
44,래미안크레시티.답십리도서관,6220.0,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,1.0,4.0,3.0,3.0,1.0,3.0,1.0,,3.0,5.0,2.0,4.0,1.0,3.0,7.0,7.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60
45,롯데캐슬노블레스,6218.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,2.0,,1.0,,2.0,2.0,2.0,1.0,,,3.0,,4.0,3.0,5.0,5.0,1.0,2.0,3.0,12.0,3.0,11.0,5.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79
46,청량리역6번출구,6216.0,2.0,,,1.0,,,,,3.0,,,,,1.0,1.0,1.0,,,1.0,1.0,,2.0,,3.0,,4.0,8.0,5.0,11.0,2.0,3.0,4.0,6.0,18.0,20.0,18.0,13.0,9.0,5.0,28.0,41.0,20.0,24.0,44.0,28.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330
47,청량리역환승센터,6019.0,,1.0,,,,,,,,,,,,,1.0,1.0,,,1.0,2.0,1.0,2.0,,4.0,2.0,2.0,3.0,8.0,3.0,2.0,12.0,3.0,3.0,15.0,9.0,13.0,28.0,3.0,11.0,31.0,27.0,10.0,9.0,28.0,29.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279
48,서울성심병원,6114.0,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,2.0,,3.0,1.0,3.0,1.0,3.0,,,,,,,1.0,,4.0,,1.0,4.0,2.0,,,13.0,12.0,,31.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85
49,떡전교앞,6187.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,1.0,3.0,,,1.0,,,2.0,1.0,2.0,1.0,,,1.0,1.0,1.0,,1.0,2.0,1.0,108.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134
50,서울시립대학교앞,6189.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,2.0,1.0,97.0,7.0,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122
51,전농로터리시장.동부교육지원청,6191.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,68.0,3.0,11.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91
52,전농우체국앞,6192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,55.0,9.0,8.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80
53,청솔우성아파트.답십리시장,6195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,26.0,3.0,5.0,10.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55
54,답십리2동두산아파트,6225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,31.0,6.0,8.0,9.0,8.0,7.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74
55,답십리2동한양아파트앞,6227.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,19.0,4.0,4.0,1.0,5.0,6.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46
56,동답한신.대림아파트동대문체육관,6229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,18.0,2.0,9.0,6.0,5.0,15.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66
57,촬영소사거리.동답초등학교,6230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,12.0,4.0,5.0,6.0,7.0,9.0,7.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
58,동답초교.대림아파트,6779.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,36.0,4.0,5.0,3.0,7.0,7.0,5.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82
59,동답한신동아아파트,6150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,23.0,4.0,6.0,6.0,7.0,16.0,6.0,8.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84
