하차_정류장순번,하차_정류장명,하차_정류장ARS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,All
21,잠실대교전망쉼터,24480.0,,,2.0,,,2.0,,3.0,3.0,1.0,2.0,1.0,3.0,5.0,4.0,11.0,6.0,19.0,38.0,34.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135
22,잠실역.잠실대교남단,24002.0,,2.0,1.0,2.0,10.0,1.0,8.0,17.0,19.0,39.0,11.0,12.0,38.0,43.0,29.0,61.0,78.0,117.0,151.0,89.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739
23,석촌호수.한솔병원,24004.0,,,3.0,,2.0,,1.0,6.0,10.0,15.0,8.0,12.0,13.0,25.0,19.0,25.0,20.0,44.0,46.0,26.0,,45.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321
24,석촌역,24006.0,,,,,,1.0,3.0,4.0,4.0,6.0,3.0,5.0,20.0,12.0,5.0,14.0,8.0,31.0,25.0,8.0,,24.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182
25,송파역.헬리오시티,24191.0,1.0,,,,1.0,,1.0,1.0,3.0,3.0,2.0,2.0,4.0,7.0,3.0,4.0,4.0,9.0,17.0,13.0,,24.0,15.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123
26,가락1동주민센터,24390.0,,,,,,1.0,,1.0,,,2.0,1.0,6.0,1.0,3.0,1.0,3.0,11.0,8.0,7.0,,69.0,17.0,14.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163
27,가락시장.헬리오시티,24389.0,,,,,,,,,,,,,,,2.0,,,5.0,3.0,2.0,2.0,56.0,9.0,3.0,15.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
28,수서역KT수서지점,23403.0,,,,,,,,,,2.0,1.0,5.0,1.0,6.0,4.0,8.0,7.0,12.0,22.0,13.0,1.0,60.0,15.0,16.0,24.0,19.0,91.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309
29,수서역,23408.0,,,,,,,,,1.0,7.0,3.0,2.0,4.0,2.0,2.0,4.0,4.0,16.0,14.0,15.0,3.0,44.0,28.0,22.0,25.0,24.0,72.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301
30,쟁골마을,23426.0,,,,,,,,,,,,,,,1.0,,,,,,,5.0,2.0,1.0,1.0,1.0,1.0,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
31,LH수서아파트,23441.0,,,,,,,,,,1.0,,1.0,,,,,,2.0,,3.0,1.0,20.0,4.0,2.0,9.0,1.0,1.0,,67.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118
32,강남더샵라르고오피스텔,23530.0,,,,,,,,,,4.0,1.0,,1.0,4.0,1.0,2.0,2.0,4.0,4.0,6.0,,86.0,10.0,19.0,31.0,2.0,5.0,6.0,257.0,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450
