하차_정류장순번,하차_정류장명,하차_정류장ARS,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,115,All
39,구의2동주민센터입구,5151.0,,,,2.0,,,,,,,,,1.0,,,,,,1.0,,,2.0,2.0,1.0,2.0,1.0,4.0,2.0,,3.0,,3.0,,3.0,7.0,7.0,15.0,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70
40,구의사거리,5153.0,,,,3.0,,,,,,,1.0,,,,,,,,2.0,,,1.0,1.0,2.0,,2.0,3.0,2.0,5.0,2.0,3.0,8.0,4.0,7.0,10.0,9.0,12.0,4.0,16.0,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109
41,광진경찰서,5145.0,,,,,1.0,,,,,,,,1.0,1.0,,,,,1.0,1.0,,4.0,4.0,1.0,2.0,4.0,3.0,10.0,6.0,2.0,4.0,5.0,4.0,7.0,17.0,16.0,26.0,18.0,24.0,18.0,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191
42,광진구청,5175.0,,,,1.0,,,,,,,,,,1.0,1.0,,,3.0,1.0,1.0,3.0,6.0,2.0,6.0,2.0,8.0,13.0,6.0,7.0,5.0,7.0,19.0,11.0,15.0,11.0,24.0,24.0,5.0,40.0,24.0,21.0,14.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282
43,자양동잠실대교북단,5188.0,,,,,,,,,,,,,,,1.0,,2.0,1.0,1.0,3.0,,,2.0,,3.0,3.0,5.0,1.0,4.0,2.0,7.0,5.0,8.0,6.0,8.0,7.0,10.0,5.0,18.0,12.0,4.0,4.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130
44,잠실대교전망쉼터,24480.0,,,,,,1.0,,1.0,,,,,,,1.0,,2.0,,1.0,1.0,,4.0,2.0,5.0,2.0,1.0,1.0,2.0,5.0,2.0,3.0,2.0,2.0,1.0,1.0,5.0,4.0,9.0,17.0,6.0,4.0,5.0,4.0,12.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107
45,잠실역.잠실대교남단,24002.0,1.0,,1.0,1.0,,,,,,,,,,1.0,1.0,,1.0,2.0,2.0,5.0,3.0,13.0,5.0,7.0,8.0,10.0,7.0,10.0,12.0,5.0,7.0,12.0,13.0,21.0,12.0,14.0,26.0,15.0,34.0,26.0,15.0,26.0,26.0,31.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381
46,석촌호수.한솔병원,24004.0,,,,1.0,1.0,,,,,,,1.0,,,1.0,,,1.0,,2.0,2.0,5.0,5.0,6.0,3.0,3.0,7.0,7.0,6.0,12.0,4.0,5.0,14.0,6.0,13.0,7.0,5.0,6.0,10.0,8.0,5.0,10.0,13.0,17.0,1.0,17.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205
47,석촌역,24006.0,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,4.0,1.0,4.0,5.0,4.0,3.0,3.0,4.0,6.0,2.0,3.0,3.0,12.0,2.0,2.0,5.0,5.0,7.0,1.0,14.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102
48,잠실여고후문,24209.0,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,2.0,2.0,2.0,2.0,1.0,1.0,,1.0,1.0,,1.0,1.0,3.0,7.0,2.0,6.0,2.0,1.0,4.0,7.0,8.0,2.0,37.0,15.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140
49,한양공원,24208.0,,,,,,,,,,,,,,,,,,,,1.0,,2.0,1.0,1.0,,,2.0,1.0,1.0,,1.0,,,,2.0,,6.0,1.0,,2.0,,5.0,2.0,4.0,1.0,42.0,14.0,40.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137
50,송파2동한양삼성아파트,24207.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,4.0,1.0,,1.0,2.0,,,1.0,1.0,2.0,4.0,,,1.0,4.0,3.0,7.0,6.0,,30.0,16.0,48.0,11.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146
51,삼익아파트미성아파트,24206.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,,5.0,3.0,7.0,,9.0,8.0,13.0,14.0,3.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85
52,송파경찰서.오금역,24369.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,1.0,,2.0,3.0,,,5.0,,2.0,2.0,3.0,6.0,13.0,15.0,,9.0,19.0,11.0,18.0,13.0,26.0,48.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201
53,가락래미안앞,24459.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,2.0,,,,,,,2.0,3.0,5.0,4.0,1.0,5.0,5.0,5.0,11.0,3.0,3.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63
54,송파중학교,24346.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,3.0,,3.0,,,2.0,,5.0,1.0,6.0,4.0,4.0,3.0,1.0,5.0,14.0,18.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76
55,문정래미안현대아파트앞,24326.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,3.0,,,2.0,,1.0,4.0,1.0,,2.0,1.0,5.0,1.0,3.0,5.0,9.0,16.0,,11.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67
56,삼성래미안아파트후문,24312.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,3.0,2.0,,1.0,2.0,1.0,,,,,2.0,1.0,2.0,,,3.0,5.0,4.0,,29.0,7.0,6.0,3.0,5.0,12.0,14.0,20.0,6.0,8.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143
57,문정시영가락프라자아파트,24313.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,2.0,,30.0,3.0,8.0,1.0,3.0,1.0,2.0,12.0,1.0,1.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74
58,가락2동프라자아파트,24354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,12.0,2.0,4.0,2.0,,3.0,1.0,6.0,,,,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
