하차_정류장순번,하차_정류장명,하차_정류장ARS,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,All
61,개일초등학교앞,23342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,10,7,7,14,9,29,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113
62,그랑프리백화점,23232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,21,46,62,40,30,46,31,91,56,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450
63,중대부고,23220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,7,19,10,6,11,7,11,5,6,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90
64,단대부고.대치아이파크아파트,23221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,13,25,19,12,14,5,16,28,12,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170
65,한티역,23252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,25,35,19,27,17,5,16,24,16,17,32,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252
66,역삼동개나리아파트,23301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,3,1,1,3,3,3,3,2,5,7,32,7,38,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115
67,신한은행데이터센터,23513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,2,,2,3,7,13,,34,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75
68,총지사,23303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3,3,2,6,8,2,15,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52
69,영동중앙교회,23304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,,,2,,,6,6,1,2,4,3,10,6,10,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68
70,대한사회복지회,23305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,2,1,1,3,4,6,5,4,2,4,1,7,6,36,16,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114
71,KT강남지사,23278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,,,2,1,,,2,,3,4,1,6,9,22,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60
72,라움아트센터.시티프라디움더강남,23272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,1,1,,1,1,3,1,,5,10,39,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70
73,논현아이파크,23139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,1,1,3,1,,3,1,1,,11,40,13,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86
74,임피리얼팰리스호텔.펜트힐루논현,23140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,2,,3,17,17,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51
75,세관앞,23134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,11,9,10,15,30,25,18,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125
76,강남구청역,23135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,1,,,,2,7,1,4,2,36,27,26,42,107,43,40,5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365
77,삼성동서광아파트,23205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,1,,,,1,7,8,11,12,19,4,4,2,9,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103
78,강남구청.강남세무서,23206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,2,,1,,,,,,,,2,8,13,15,17,2,5,4,7,4,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110
79,청담동성당,23174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,4,2,12,12,9,4,2,4,1,12,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,77
80,청담2치안센터,23175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,,,,,1,,,,,4,6,7,18,12,8,6,4,4,8,28,5,21,2,,,,,,,,,,,,,,,,,,,,,,,,,,,138
81,청담동주민센터,23167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,1,1,6,4,15,9,11,2,1,,3,12,8,25,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,110
82,영동대교북단,5220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,2,6,,2,2,9,11,5,13,5,5,5,13,6,17,10,18,1,,,,,,,,,,,,,,,,,,,,,,,,,132
83,노룬산시장,5216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,2,2,2,3,5,2,7,2,6,4,3,7,3,9,11,4,,,,,,,,,,,,,,,,,,,,,,,,,74
84,성수사거리,5224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,1,,3,1,7,6,7,9,8,8,1,2,5,7,7,8,11,28,19,5,2,,,,,,,,,,,,,,,,,,,,,,,148
85,화양사거리,5225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,,,,,,1,1,4,2,4,7,11,9,7,2,,4,11,17,5,40,31,29,15,9,2,,,,,,,,,,,,,,,,,,,,,,215
86,송정동서울숲아이파크,5235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,3,,3,4,1,3,4,1,6,,4,2,2,5,7,9,12,20,8,10,9,,,,,,,,,,,,,,,,,,,,,,115
