하차_정류장순번,하차_정류장명,하차_정류장ARS,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,All
51,광나루역,5011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,21,26,11,23,26,50,69,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281
52,새밭교회,5009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,6,19,18,18,12,26,39,82,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231
53,어린이대공원후문아차산역,5006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,8,9,28,14,26,37,68,53,150,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410
54,중곡동입구삼거리,5005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,7,14,14,12,8,28,29,68,13,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227
55,군자역.용마초등학교,5003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,12,12,8,17,15,18,38,72,21,21,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263
56,군자교입구,5001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,11,9,17,10,18,12,31,19,38,4,22,23,28,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255
57,장한평역,6003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,16,15,9,13,11,33,17,36,16,28,37,37,29,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308
58,청년회의소,6002,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,11,9,2,11,11,19,25,15,5,15,18,18,21,35,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,250
59,답십리역사거리,6001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,13,11,5,12,8,23,15,19,5,16,23,34,11,23,23,16,,,,,,,,,,,,,,,,,,,,,,,,,,,262
60,신답초등학교.청계한신휴플러스,6005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,7,12,2,5,14,13,16,12,4,17,11,13,13,25,15,44,3,,,,,,,,,,,,,,,,,,,,,,,,,,230
61,동대문구청.용신동주민센터,6165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,12,15,38,13,20,53,60,64,40,10,45,30,47,38,81,55,97,11,9,,,,,,,,,,,,,,,,,,,,,,,,,746
62,경동시장앞,6167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,5,10,1,5,17,22,21,10,2,14,12,21,15,26,22,39,10,23,5,,,,,,,,,,,,,,,,,,,,,,,,287
63,홍파초등학교,6170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,1,2,9,8,15,15,2,10,6,9,17,16,13,32,10,19,13,4,,,,,,,,,,,,,,,,,,,,,,,204
64,제기동한신아파트앞,6172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,7,6,5,15,12,3,16,7,5,7,7,22,8,6,17,18,7,4,,,,,,,,,,,,,,,,,,,,,,175
65,고려대역.고대앞삼거리,6173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,2,9,10,5,6,9,17,22,10,6,18,9,13,14,26,28,30,6,14,9,10,14,53,,,,,,,,,,,,,,,,,,,,,344
66,숭례초등학교,8155,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,5,11,5,5,10,18,26,25,18,3,19,9,14,26,31,19,36,8,13,23,4,5,72,4,,,,,,,,,,,,,,,,,,,,411
67,종암동주민센터,8153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,6,3,10,12,20,17,13,1,26,3,12,25,20,11,44,7,16,21,4,6,88,18,2,,,,,,,,,,,,,,,,,,,390
68,종암사거리입구,8151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,8,6,13,17,15,9,1,11,8,5,20,16,11,29,11,16,13,1,7,31,25,13,8,,,,,,,,,,,,,,,,,,305
69,성가복지병원,8149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,5,1,15,12,21,12,8,5,15,13,11,22,30,20,21,12,24,47,12,9,15,28,30,29,44,,,,,,,,,,,,,,,,,468
